tile_id,quadkey,lat,lon,carrier,download_mbps,upload_mbps,latency_ms,tests,devices,distance_m,inside_stadium,section,nearest_das,das_distance_m,signal_quality
TILE_00000,032023174103220,40.81,-74.0792653,Verizon,69.69,16.07,46.8,82,29,592.3,False,Exterior,DAS-S2,367.2,40.8
TILE_00001,032023160419218,40.81,-74.0792653,AT&T,37.93,7.55,79.4,51,15,592.3,False,Exterior,DAS-S2,367.2,40.8
TILE_00002,032023115818526,40.81,-74.0792653,T-Mobile,151.22,12.2,48.0,28,17,592.3,False,Exterior,DAS-S2,367.2,40.8
TILE_00003,032023113740587,40.81,-74.0790204,Verizon,84.18,2.22,48.0,46,14,577.9,False,Exterior,DAS-S2,350.9,42.2
TILE_00004,032023140592523,40.81,-74.0790204,US Cellular,15.86,5.89,83.7,12,5,577.9,False,Exterior,DAS-S2,350.9,42.2
TILE_00005,032023171779568,40.81,-74.0787755,Verizon,10.0,19.41,50.6,54,42,563.9,False,Exterior,DAS-S2,335.2,43.6
TILE_00006,032023183300726,40.81,-74.0787755,AT&T,59.68,6.75,72.1,38,19,563.9,False,Exterior,DAS-S2,335.2,43.6
TILE_00007,032023128268772,40.81,-74.0787755,US Cellular,38.89,5.63,83.8,13,5,563.9,False,Exterior,DAS-S2,335.2,43.6
TILE_00008,032023147281038,40.81,-74.0785306,Verizon,80.92,17.5,49.4,56,40,550.3,False,Exterior,DAS-S2,320.0,45.0
TILE_00009,032023153501687,40.81,-74.0785306,AT&T,69.77,16.2,62.0,52,26,550.3,False,Exterior,DAS-S2,320.0,45.0
TILE_00010,032023197884896,40.81,-74.0782857,AT&T,37.89,2.0,60.8,15,3,537.2,False,Exterior,DAS-S2,305.5,46.3
TILE_00011,032023192092954,40.81,-74.0782857,T-Mobile,44.26,23.68,40.3,14,4,537.2,False,Exterior,DAS-S2,305.5,46.3
TILE_00012,032023147573247,40.81,-74.0780408,Verizon,73.16,6.66,45.9,90,25,524.5,False,Exterior,DAS-S2,291.7,47.5
TILE_00013,032023129700949,40.81,-74.0780408,AT&T,92.04,14.66,52.9,60,21,524.5,False,Exterior,DAS-S2,291.7,47.5
TILE_00014,032023195702971,40.81,-74.0780408,T-Mobile,190.18,10.19,31.9,67,14,524.5,False,Exterior,DAS-S2,291.7,47.5
TILE_00015,032023189068829,40.81,-74.0777959,Verizon,149.86,21.92,49.8,65,33,512.4,False,Exterior,DAS-S2,278.7,48.8
TILE_00016,032023161495846,40.81,-74.0777959,AT&T,49.5,16.17,56.9,71,27,512.4,False,Exterior,DAS-S2,278.7,48.8
TILE_00017,032023113288663,40.81,-74.0777959,T-Mobile,27.86,10.35,30.6,50,26,512.4,False,Exterior,DAS-S2,278.7,48.8
TILE_00018,032023138643456,40.81,-74.077551,Verizon,125.94,21.87,38.9,16,12,500.8,False,Exterior,DAS-S2,266.8,49.9
TILE_00019,032023130287503,40.81,-74.077551,AT&T,69.41,12.35,50.3,16,6,500.8,False,Exterior,DAS-S2,266.8,49.9
TILE_00020,032023152289832,40.81,-74.0773061,T-Mobile,148.89,7.81,28.3,11,10,489.8,False,Exterior,DAS-S2,255.9,51.0
TILE_00021,032023194358612,40.81,-74.0773061,US Cellular,29.86,5.79,64.3,3,1,489.8,False,Exterior,DAS-S2,255.9,51.0
TILE_00022,032023170505150,40.81,-74.0770612,AT&T,120.29,10.42,46.7,46,12,479.5,False,Exterior,DAS-S2,246.3,52.1
TILE_00023,032023142286662,40.81,-74.0770612,T-Mobile,121.27,3.88,42.2,39,14,479.5,False,Exterior,DAS-S2,246.3,52.1
TILE_00024,032023184792487,40.81,-74.0768163,Verizon,47.35,9.69,42.5,48,43,469.8,False,Exterior,DAS-S2,238.1,53.0
TILE_00025,032023179317863,40.81,-74.0768163,AT&T,52.28,4.69,54.1,49,29,469.8,False,Exterior,DAS-S2,238.1,53.0
TILE_00026,032023118946207,40.81,-74.0768163,T-Mobile,27.98,28.96,27.5,80,19,469.8,False,Exterior,DAS-S2,238.1,53.0
TILE_00027,032023193244478,40.81,-74.0765714,Verizon,46.82,12.32,29.8,53,20,460.9,False,Exterior,DAS-S2,231.4,53.9
TILE_00028,032023194359715,40.81,-74.0765714,AT&T,80.24,6.4,53.6,59,27,460.9,False,Exterior,DAS-S2,231.4,53.9
TILE_00029,032023129816039,40.81,-74.0763265,Verizon,94.17,20.87,35.7,17,6,452.7,False,Exterior,DAS-S2,226.5,54.7
TILE_00030,032023119778891,40.81,-74.0763265,AT&T,109.95,10.93,48.6,8,5,452.7,False,Exterior,DAS-S2,226.5,54.7
TILE_00031,032023189400364,40.81,-74.0760816,AT&T,90.68,6.44,47.5,6,2,445.4,False,Exterior,DAS-S2,223.4,55.5
TILE_00032,032023145132980,40.81,-74.0760816,T-Mobile,83.95,21.19,31.9,6,2,445.4,False,Exterior,DAS-S2,223.4,55.5
TILE_00033,032023163556940,40.81,-74.0760816,US Cellular,10.0,15.5,71.7,1,0,445.4,False,Exterior,DAS-S2,223.4,55.5
TILE_00034,032023199437517,40.81,-74.0758367,Verizon,75.36,20.7,42.0,26,21,438.9,False,Exterior,DAS-S2,222.1,56.1
TILE_00035,032023195666673,40.81,-74.0758367,AT&T,69.2,9.99,55.2,41,8,438.9,False,Exterior,DAS-S2,222.1,56.1
TILE_00036,032023181330450,40.81,-74.0758367,T-Mobile,31.77,27.8,38.3,31,17,438.9,False,Exterior,DAS-S2,222.1,56.1
TILE_00037,032023194527626,40.81,-74.0755918,Verizon,76.41,25.94,42.8,33,31,433.3,False,Exterior,DAS-S2,222.8,56.7
TILE_00038,032023156948959,40.81,-74.0755918,AT&T,123.37,10.77,44.2,44,32,433.3,False,Exterior,DAS-S2,222.8,56.7
TILE_00039,032023122270788,40.81,-74.075102,Verizon,88.47,2.0,34.1,41,24,424.8,False,Exterior,DAS-S2,229.8,57.5
TILE_00040,032023179624445,40.81,-74.075102,AT&T,109.51,6.39,50.6,25,30,424.8,False,Exterior,DAS-S2,229.8,57.5
TILE_00041,032023171686084,40.81,-74.075102,T-Mobile,216.3,14.75,33.0,62,15,424.8,False,Exterior,DAS-S2,229.8,57.5
TILE_00042,032023110155445,40.81,-74.0748571,Verizon,42.27,21.96,42.7,21,10,422.1,False,Exterior,DAS-S1,228.9,57.8
TILE_00043,032023144304939,40.81,-74.0748571,AT&T,63.75,5.77,46.2,8,8,422.1,False,Exterior,DAS-S1,228.9,57.8
TILE_00044,032023132910213,40.81,-74.0746122,Verizon,54.31,18.84,43.2,89,29,420.3,False,Exterior,DAS-S1,224.8,58.0
TILE_00045,032023157588975,40.81,-74.0746122,T-Mobile,121.83,2.2,39.0,60,33,420.3,False,Exterior,DAS-S1,224.8,58.0
TILE_00046,032023198468526,40.81,-74.0743673,Verizon,123.65,16.36,29.8,27,13,419.6,False,Exterior,DAS-S1,222.5,58.0
TILE_00047,032023192151294,40.81,-74.0743673,T-Mobile,110.42,20.75,31.5,28,7,419.6,False,Exterior,DAS-S1,222.5,58.0
TILE_00048,032023147251065,40.81,-74.0741224,Verizon,127.53,7.76,35.5,42,12,419.8,False,Exterior,DAS-S1,222.2,58.0
TILE_00049,032023181185734,40.81,-74.0741224,AT&T,60.43,10.22,39.1,28,12,419.8,False,Exterior,DAS-S1,222.2,58.0
TILE_00050,032023126489788,40.81,-74.0738776,Verizon,142.45,18.24,41.8,8,5,421.1,False,Exterior,DAS-S1,223.8,57.9
TILE_00051,032023116879591,40.81,-74.0738776,AT&T,81.15,13.28,45.9,12,3,421.1,False,Exterior,DAS-S1,223.8,57.9
TILE_00052,032023129885422,40.81,-74.0738776,T-Mobile,194.32,7.72,24.2,6,5,421.1,False,Exterior,DAS-S1,223.8,57.9
TILE_00053,032023130641339,40.81,-74.0736327,US Cellular,54.28,9.47,72.4,3,2,423.4,False,Exterior,DAS-S1,227.2,57.7
TILE_00054,032023116927891,40.81,-74.0733878,AT&T,122.63,14.7,44.4,35,28,426.7,False,Exterior,DAS-S1,232.4,57.3
TILE_00055,032023125000830,40.81,-74.0733878,T-Mobile,65.67,10.17,35.3,26,20,426.7,False,Exterior,DAS-S1,232.4,57.3
TILE_00056,032023165621866,40.81,-74.0731429,Verizon,139.64,21.24,33.9,18,6,431.0,False,Exterior,DAS-S1,239.3,56.9
TILE_00057,032023139422423,40.81,-74.0731429,T-Mobile,41.95,20.69,34.0,11,5,431.0,False,Exterior,DAS-S1,239.3,56.9
TILE_00058,032023172851980,40.81,-74.072898,Verizon,109.61,20.25,43.1,93,30,436.1,False,Exterior,DAS-S1,247.8,56.4
TILE_00059,032023116411790,40.81,-74.0726531,Verizon,150.43,20.2,31.3,84,26,442.2,False,Exterior,DAS-S1,257.6,55.8
TILE_00060,032023172607819,40.81,-74.0724082,Verizon,71.74,11.94,49.1,72,27,449.2,False,Exterior,DAS-S1,268.7,55.1
TILE_00061,032023153137227,40.81,-74.0724082,AT&T,58.12,9.12,49.7,40,26,449.2,False,Exterior,DAS-S1,268.7,55.1
TILE_00062,032023125209442,40.81,-74.0724082,T-Mobile,145.27,16.06,34.1,44,21,449.2,False,Exterior,DAS-S1,268.7,55.1
TILE_00063,032023112506798,40.81,-74.0724082,US Cellular,20.32,8.72,69.4,11,3,449.2,False,Exterior,DAS-S1,268.7,55.1
TILE_00064,032023199036854,40.81,-74.0721633,Verizon,120.42,11.72,44.8,45,14,457.0,False,Exterior,DAS-S1,280.8,54.3
TILE_00065,032023119536274,40.81,-74.0721633,T-Mobile,150.72,23.06,36.6,33,10,457.0,False,Exterior,DAS-S1,280.8,54.3
TILE_00066,032023197734795,40.81,-74.0721633,US Cellular,80.54,4.5,61.4,4,4,457.0,False,Exterior,DAS-S1,280.8,54.3
TILE_00067,032023126094999,40.81,-74.0716735,Verizon,120.47,26.81,41.3,18,14,474.9,False,Exterior,DAS-S1,307.9,52.5
