lat,lon,download_mbps,upload_mbps,avg_lat_ms,tests,devices,distance_km,quadkey
40.804778,-74.07431,188.7,15.9,23.0,164,55,0.999,0320223756669
40.807778,-74.08230999999999,197.1,46.7,17.0,266,28,0.946,0320213999315
40.807778,-74.07831,100.8,24.3,31.0,337,70,0.746,0320297226012
40.807778,-74.07431,212.5,31.7,27.0,192,21,0.666,0320231429110
40.807778,-74.07030999999999,208.8,28.3,19.0,440,106,0.746,0320223718431
40.807778,-74.06631,96.8,18.6,40.0,359,87,0.946,0320215831819
40.810778,-74.08230999999999,214.3,35.5,42.0,243,40,0.75,0320284093639
40.810778,-74.07831,143.5,40.9,38.0,235,167,0.473,0320235808537
40.810778,-74.07431,226.4,18.8,19.0,198,40,0.333,0320241244663
40.810778,-74.07030999999999,251.3,31.3,26.0,477,113,0.473,0320231831063
40.810778,-74.06631,150.1,23.4,22.0,399,185,0.75,0320219583482
40.813778,-74.08230999999999,195.6,22.4,35.0,133,138,0.672,0320260929647
40.813778,-74.07831,142.6,53.7,31.0,162,195,0.336,0320253524491
40.813778,-74.07431,267.9,50.6,18.0,66,100,0.0,0320263843426
40.813778,-74.07030999999999,142.2,25.4,38.0,498,100,0.336,0320238538251
40.813778,-74.06631,204.0,30.7,40.0,284,56,0.672,0320245551614
40.816778,-74.08230999999999,108.9,43.1,30.0,432,169,0.75,0320267503414
40.816778,-74.07831,257.1,32.0,20.0,120,150,0.473,0320276238574
40.816778,-74.07431,108.2,18.9,16.0,371,60,0.333,0320266661351
40.816778,-74.07030999999999,200.5,31.5,30.0,289,155,0.473,0320243744231
40.816778,-74.06631,257.3,47.4,15.0,419,49,0.75,0320282070937
40.819778,-74.08230999999999,209.9,42.4,25.0,200,131,0.946,0320231227574
40.819778,-74.07831,165.1,50.8,39.0,184,148,0.746,0320233978249
40.819778,-74.07431,177.4,20.0,32.0,480,183,0.666,0320278137358
40.819778,-74.07030999999999,192.8,21.4,36.0,326,155,0.746,0320210076758
40.819778,-74.06631,183.8,32.4,18.0,235,98,0.946,0320242138745
40.822778,-74.07431,89.9,45.7,43.0,93,144,0.999,0320219289546
